Health: 172.000000, Speed: 0.399797, Firerate: 3.035035
Health: 180.000000, Speed: 0.586731, Firerate: 4.000000
Health: 190.000000, Speed: 0.398195, Firerate: 3.329951
Health: 186.000000, Speed: 0.448276, Firerate: 3.852104
Health: 181.000000, Speed: 0.444964, Firerate: 3.799081
Health: 200.000000, Speed: 0.426867, Firerate: 3.221833
Health: 190.000000, Speed: 0.405382, Firerate: 2.752553
Health: 180.000000, Speed: 0.334243, Firerate: 3.112476
Health: 184.000000, Speed: 0.440417, Firerate: 3.398846
Health: 197.000000, Speed: 0.453906, Firerate: 3.502713
Health: 200.000000, Speed: 0.445529, Firerate: 3.445140
Health: 190.000000, Speed: 0.435153, Firerate: 3.520487
Health: 170.000000, Speed: 0.474300, Firerate: 3.517518
Health: 160.000000, Speed: 0.582428, Firerate: 3.610553
Health: 196.000000, Speed: 0.396272, Firerate: 2.417304
Health: 184.000000, Speed: 0.404482, Firerate: 2.921854
Health: 192.000000, Speed: 0.337875, Firerate: 4.000000
Health: 200.000000, Speed: 0.381272, Firerate: 3.823648
Health: 192.000000, Speed: 0.372910, Firerate: 3.923948
Health: 178.000000, Speed: 0.344757, Firerate: 2.558043
Health: 178.000000, Speed: 0.248700, Firerate: 3.884618
Health: 174.000000, Speed: 0.446338, Firerate: 3.016834
Health: 191.000000, Speed: 0.337860, Firerate: 3.273125
Health: 170.000000, Speed: 0.323882, Firerate: 3.413736
Health: 192.000000, Speed: 0.319572, Firerate: 2.846827
Health: 187.000000, Speed: 0.347610, Firerate: 3.314997
Health: 191.000000, Speed: 0.332519, Firerate: 3.959368
Health: 186.000000, Speed: 0.447452, Firerate: 2.739051
Health: 163.000000, Speed: 0.415720, Firerate: 3.264943
Health: 164.000000, Speed: 0.357712, Firerate: 3.316214
Health: 180.000000, Speed: 0.346176, Firerate: 2.637001
Health: 200.000000, Speed: 0.361740, Firerate: 3.893441
Health: 184.000000, Speed: 0.419848, Firerate: 3.216556
Health: 175.000000, Speed: 0.359040, Firerate: 3.971117
Health: 186.000000, Speed: 0.442141, Firerate: 3.314997
Health: 165.000000, Speed: 0.381318, Firerate: 3.027174
Health: 186.000000, Speed: 0.445849, Firerate: 3.748216
Health: 172.000000, Speed: 0.413683, Firerate: 3.460307
Health: 186.000000, Speed: 0.390230, Firerate: 3.314997
Health: 177.000000, Speed: 0.413744, Firerate: 3.314997
Health: 193.000000, Speed: 0.430277, Firerate: 3.434928
Health: 200.000000, Speed: 0.376855, Firerate: 3.129759
Health: 195.000000, Speed: 0.573669, Firerate: 2.952361
Health: 172.000000, Speed: 0.387330, Firerate: 4.000000
Health: 184.000000, Speed: 0.369080, Firerate: 3.668361
Health: 197.000000, Speed: 0.320891, Firerate: 3.644008
Health: 199.000000, Speed: 0.347427, Firerate: 3.314997
Health: 184.000000, Speed: 0.435977, Firerate: 3.314997
Health: 185.000000, Speed: 0.476269, Firerate: 3.279769
Health: 200.000000, Speed: 0.363495, Firerate: 3.549648
Health: 177.000000, Speed: 0.353851, Firerate: 2.719098
Health: 200.000000, Speed: 0.387895, Firerate: 3.763854
Health: 184.000000, Speed: 0.409563, Firerate: 3.896646
Health: 181.000000, Speed: 0.638917, Firerate: 2.929267
Health: 188.000000, Speed: 0.450023, Firerate: 3.343837
Health: 182.000000, Speed: 0.427706, Firerate: 3.318329
Health: 186.000000, Speed: 0.476696, Firerate: 3.186990
Health: 181.000000, Speed: 0.300169, Firerate: 3.699252
Health: 195.000000, Speed: 0.389879, Firerate: 3.897415
Health: 170.000000, Speed: 0.301054, Firerate: 3.318329
Health: 200.000000, Speed: 0.429736, Firerate: 3.524589
Health: 175.000000, Speed: 0.270368, Firerate: 3.137406
Health: 200.000000, Speed: 0.414560, Firerate: 3.464238
Health: 200.000000, Speed: 0.439792, Firerate: 3.943516
Health: 179.000000, Speed: 0.313079, Firerate: 1.933219
Health: 180.000000, Speed: 0.313430, Firerate: 3.960564
Health: 187.000000, Speed: 0.390428, Firerate: 3.855287
Health: 180.000000, Speed: 0.408174, Firerate: 3.413416
Health: 169.000000, Speed: 0.413805, Firerate: 3.423222
Health: 196.000000, Speed: 0.441379, Firerate: 3.318329
Health: 183.000000, Speed: 0.531339, Firerate: 2.983871
Health: 188.000000, Speed: 0.445445, Firerate: 4.000000
Health: 186.000000, Speed: 0.447330, Firerate: 3.217154
Health: 195.000000, Speed: 0.366379, Firerate: 3.594296
Health: 156.000000, Speed: 0.359970, Firerate: 3.520295
Health: 185.000000, Speed: 0.404062, Firerate: 3.867678
Health: 185.000000, Speed: 0.444110, Firerate: 3.318329
Health: 195.000000, Speed: 0.338546, Firerate: 3.431169
Health: 199.000000, Speed: 0.344925, Firerate: 3.157317
Health: 198.000000, Speed: 0.446773, Firerate: 3.258791
Health: 197.000000, Speed: 0.440493, Firerate: 2.953087
Health: 194.000000, Speed: 0.548628, Firerate: 3.395556
Health: 184.000000, Speed: 0.426501, Firerate: 3.521256
Health: 200.000000, Speed: 0.447559, Firerate: 4.000000
Health: 154.000000, Speed: 0.482418, Firerate: 2.118415
Health: 198.000000, Speed: 0.371293, Firerate: 3.975411
Health: 177.000000, Speed: 0.325607, Firerate: 3.996496
Health: 180.000000, Speed: 0.386949, Firerate: 3.314997
Health: 192.000000, Speed: 0.422243, Firerate: 2.947767
Health: 179.000000, Speed: 0.435488, Firerate: 3.164772
Health: 182.000000, Speed: 0.200000, Firerate: 4.000000
Health: 192.000000, Speed: 0.411028, Firerate: 3.314997
Health: 184.000000, Speed: 0.418146, Firerate: 3.164772
Health: 176.000000, Speed: 0.366227, Firerate: 3.103931
Health: 166.000000, Speed: 0.386079, Firerate: 3.504037
Health: 186.000000, Speed: 0.455394, Firerate: 3.258983
Health: 199.000000, Speed: 0.427294, Firerate: 2.367699
Health: 190.000000, Speed: 0.433825, Firerate: 3.322538
Health: 188.000000, Speed: 0.437243, Firerate: 2.690344
Health: 184.000000, Speed: 0.409151, Firerate: 3.484298
Health: 200.000000, Speed: 0.358811, Firerate: 3.322538
Health: 190.000000, Speed: 0.420779, Firerate: 3.318329
Health: 169.000000, Speed: 0.410540, Firerate: 3.322538
Health: 175.000000, Speed: 0.341453, Firerate: 3.603033
Health: 165.000000, Speed: 0.406816, Firerate: 3.521918
Health: 164.000000, Speed: 0.358017, Firerate: 3.596069
Health: 179.000000, Speed: 0.339554, Firerate: 3.208972
Health: 200.000000, Speed: 0.329955, Firerate: 3.318329
Health: 200.000000, Speed: 0.526807, Firerate: 3.565456
Health: 179.000000, Speed: 0.374589, Firerate: 3.318329
Health: 184.000000, Speed: 0.412477, Firerate: 3.102820
Health: 184.000000, Speed: 0.443316, Firerate: 3.602158
Health: 184.000000, Speed: 0.353165, Firerate: 3.846336
Health: 172.000000, Speed: 0.396928, Firerate: 3.935569
Health: 184.000000, Speed: 0.398820, Firerate: 3.669793
Health: 191.000000, Speed: 0.508222, Firerate: 2.560415
Health: 185.000000, Speed: 0.454173, Firerate: 3.322538
Health: 181.000000, Speed: 0.427050, Firerate: 3.423243
Health: 197.000000, Speed: 0.446994, Firerate: 3.340803
Health: 178.000000, Speed: 0.351791, Firerate: 3.956099
Health: 192.000000, Speed: 0.356339, Firerate: 3.213971
Health: 198.000000, Speed: 0.406755, Firerate: 3.264238
Health: 184.000000, Speed: 0.427966, Firerate: 3.333155
Health: 184.000000, Speed: 0.423327, Firerate: 2.825678
Health: 194.000000, Speed: 0.444049, Firerate: 2.969259
Health: 176.000000, Speed: 0.646005, Firerate: 3.693313
Health: 200.000000, Speed: 0.408724, Firerate: 2.983465
Health: 186.000000, Speed: 0.439792, Firerate: 3.934010
Health: 174.000000, Speed: 0.286001, Firerate: 3.467827
Health: 200.000000, Speed: 0.385301, Firerate: 3.322538
Health: 200.000000, Speed: 0.322112, Firerate: 3.869494
Health: 182.000000, Speed: 0.400438, Firerate: 3.609677
Health: 186.000000, Speed: 0.280279, Firerate: 3.892459
Health: 196.000000, Speed: 0.423067, Firerate: 3.797201
Health: 182.000000, Speed: 0.421343, Firerate: 3.811600
Health: 173.000000, Speed: 0.416720, Firerate: 4.000000
Health: 199.000000, Speed: 0.425753, Firerate: 4.000000
Health: 179.000000, Speed: 0.419665, Firerate: 3.322538
Health: 171.000000, Speed: 0.429965, Firerate: 3.322538
Health: 183.000000, Speed: 0.384431, Firerate: 3.964281
Health: 184.000000, Speed: 0.434527, Firerate: 3.960799
Health: 200.000000, Speed: 0.458003, Firerate: 3.546080
Health: 200.000000, Speed: 0.451122, Firerate: 3.781094
Health: 191.000000, Speed: 0.441943, Firerate: 4.000000
Health: 185.000000, Speed: 0.403551, Firerate: 2.867357
Health: 170.000000, Speed: 0.445849, Firerate: 3.123927
Health: 184.000000, Speed: 0.389238, Firerate: 3.661418
Health: 160.000000, Speed: 0.200000, Firerate: 3.572549
Health: 170.000000, Speed: 0.345215, Firerate: 3.087118
Health: 182.000000, Speed: 0.297194, Firerate: 3.474770
Health: 199.000000, Speed: 0.390260, Firerate: 3.577612
Health: 200.000000, Speed: 0.267431, Firerate: 2.178060
Health: 179.000000, Speed: 0.238415, Firerate: 3.293292
Health: 195.000000, Speed: 0.446658, Firerate: 3.401089
Health: 200.000000, Speed: 0.378831, Firerate: 3.322538
Health: 184.000000, Speed: 0.414370, Firerate: 3.814634
Health: 200.000000, Speed: 0.315276, Firerate: 3.473489
Health: 168.000000, Speed: 0.413027, Firerate: 3.214762
Health: 181.000000, Speed: 0.426722, Firerate: 3.161504
Health: 189.000000, Speed: 0.354431, Firerate: 3.186370
Health: 182.000000, Speed: 0.338012, Firerate: 3.322538
Health: 200.000000, Speed: 0.350922, Firerate: 3.322538
Health: 165.000000, Speed: 0.624085, Firerate: 2.318650
Health: 198.000000, Speed: 0.413057, Firerate: 3.322538
Health: 184.000000, Speed: 0.429949, Firerate: 3.409976
Health: 196.000000, Speed: 0.353562, Firerate: 3.734266
Health: 200.000000, Speed: 0.274015, Firerate: 3.322538
Health: 176.000000, Speed: 0.383927, Firerate: 4.000000
Health: 176.000000, Speed: 0.442050, Firerate: 3.322538
Health: 189.000000, Speed: 0.429614, Firerate: 3.260137
Health: 195.000000, Speed: 0.439822, Firerate: 3.768575
Health: 186.000000, Speed: 0.440463, Firerate: 3.407306
Health: 200.000000, Speed: 0.373498, Firerate: 2.161397
Health: 184.000000, Speed: 0.298796, Firerate: 3.543538
Health: 192.000000, Speed: 0.296095, Firerate: 3.322538
Health: 176.000000, Speed: 0.343033, Firerate: 3.828220
Health: 169.000000, Speed: 0.354324, Firerate: 3.811386
Health: 200.000000, Speed: 0.410723, Firerate: 3.789383
Health: 200.000000, Speed: 0.505185, Firerate: 3.270476
Health: 171.000000, Speed: 0.416452, Firerate: 3.429417
Health: 182.000000, Speed: 0.333480, Firerate: 3.215680
Health: 187.000000, Speed: 0.416964, Firerate: 3.322538
Health: 190.000000, Speed: 0.446200, Firerate: 3.514698
Health: 184.000000, Speed: 0.290678, Firerate: 3.435698
Health: 184.000000, Speed: 0.432025, Firerate: 3.766567
Health: 200.000000, Speed: 0.415941, Firerate: 3.302115
Health: 179.000000, Speed: 0.438014, Firerate: 3.573019
Health: 175.000000, Speed: 0.439303, Firerate: 3.676843
Health: 176.000000, Speed: 0.373566, Firerate: 4.000000
Health: 188.000000, Speed: 0.448230, Firerate: 3.602606
Health: 200.000000, Speed: 0.542845, Firerate: 3.558684
Health: 196.000000, Speed: 0.427645, Firerate: 2.949477
Health: 170.000000, Speed: 0.409563, Firerate: 3.505939
Health: 200.000000, Speed: 0.341049, Firerate: 4.000000
Health: 179.000000, Speed: 0.431857, Firerate: 3.376928
Health: 186.000000, Speed: 0.419909, Firerate: 3.322538
Health: 199.000000, Speed: 0.525633, Firerate: 3.545909
Health: 170.000000, Speed: 0.353470, Firerate: 3.765029
Health: 182.000000, Speed: 0.443942, Firerate: 3.797073
Health: 182.000000, Speed: 0.365555, Firerate: 4.000000
Health: 175.000000, Speed: 0.602181, Firerate: 2.511771
Health: 176.000000, Speed: 0.270460, Firerate: 3.454326
Health: 185.000000, Speed: 0.407747, Firerate: 3.796988
Health: 200.000000, Speed: 0.431674, Firerate: 3.660308
Health: 193.000000, Speed: 0.418703, Firerate: 3.148537
Health: 171.000000, Speed: 0.445056, Firerate: 2.974599
Health: 183.000000, Speed: 0.429270, Firerate: 2.670070
Health: 184.000000, Speed: 0.344391, Firerate: 3.230293
Health: 180.000000, Speed: 0.370377, Firerate: 2.771865
Health: 184.000000, Speed: 0.395021, Firerate: 2.817667
Health: 195.000000, Speed: 0.385011, Firerate: 3.004102
Health: 188.000000, Speed: 0.426562, Firerate: 3.478317
Health: 183.000000, Speed: 0.400011, Firerate: 3.603696
Health: 185.000000, Speed: 0.432742, Firerate: 3.004102
Health: 167.000000, Speed: 0.393999, Firerate: 3.083187
Health: 200.000000, Speed: 0.346138, Firerate: 3.818607
Health: 191.000000, Speed: 0.371407, Firerate: 2.009592
Health: 171.000000, Speed: 0.422167, Firerate: 3.322538
Health: 176.000000, Speed: 0.368653, Firerate: 1.999274
Health: 176.000000, Speed: 0.383721, Firerate: 1.967272
Health: 198.000000, Speed: 0.344833, Firerate: 2.471523
Health: 192.000000, Speed: 0.467693, Firerate: 2.828733
Health: 196.000000, Speed: 0.414614, Firerate: 3.013907
Health: 177.000000, Speed: 0.364777, Firerate: 4.000000
Health: 200.000000, Speed: 0.636598, Firerate: 3.125507
Health: 184.000000, Speed: 0.440265, Firerate: 3.152318
Health: 178.000000, Speed: 0.342743, Firerate: 3.354283
Health: 184.000000, Speed: 0.435717, Firerate: 2.584384
Health: 184.000000, Speed: 0.357361, Firerate: 3.148537
Health: 200.000000, Speed: 0.342521, Firerate: 2.370776
Health: 174.000000, Speed: 0.633775, Firerate: 3.329673
Health: 165.000000, Speed: 0.444171, Firerate: 3.755800
Health: 176.000000, Speed: 0.426264, Firerate: 3.980731
Health: 175.000000, Speed: 0.356354, Firerate: 3.902692
Health: 173.000000, Speed: 0.357605, Firerate: 3.421897
Health: 184.000000, Speed: 0.449649, Firerate: 3.520209
Health: 200.000000, Speed: 0.405046, Firerate: 2.948109
Health: 192.000000, Speed: 0.270093, Firerate: 3.824311
Health: 184.000000, Speed: 0.404680, Firerate: 2.078851
Health: 161.000000, Speed: 0.358383, Firerate: 3.326874
Health: 184.000000, Speed: 0.424654, Firerate: 3.249199
Health: 170.000000, Speed: 0.336120, Firerate: 4.000000
Health: 185.000000, Speed: 0.311446, Firerate: 3.770391
Health: 200.000000, Speed: 0.348801, Firerate: 3.301282
Health: 173.000000, Speed: 0.344620, Firerate: 3.642940
Health: 168.000000, Speed: 0.329940, Firerate: 3.498441
Health: 183.000000, Speed: 0.384339, Firerate: 3.498441
Health: 166.000000, Speed: 0.416063, Firerate: 4.000000
Health: 161.000000, Speed: 0.631150, Firerate: 3.449306
Health: 184.000000, Speed: 0.448215, Firerate: 3.379256
Health: 181.000000, Speed: 0.433024, Firerate: 3.471246
Health: 174.000000, Speed: 0.421206, Firerate: 3.761034
Health: 199.000000, Speed: 0.388658, Firerate: 3.049178
Health: 165.000000, Speed: 0.536291, Firerate: 3.214954
Health: 184.000000, Speed: 0.413591, Firerate: 4.000000
Health: 195.000000, Speed: 0.496304, Firerate: 3.322538
Health: 173.000000, Speed: 0.481243, Firerate: 3.431169
Health: 184.000000, Speed: 0.442798, Firerate: 3.600299
Health: 186.000000, Speed: 0.444736, Firerate: 3.148537
Health: 190.000000, Speed: 0.289312, Firerate: 2.482247
Health: 185.000000, Speed: 0.409105, Firerate: 3.808203
Health: 175.000000, Speed: 0.292738, Firerate: 4.000000
Health: 176.000000, Speed: 0.335754, Firerate: 3.404999
Health: 177.000000, Speed: 0.407183, Firerate: 3.538005
Health: 180.000000, Speed: 0.409868, Firerate: 3.070498
Health: 191.000000, Speed: 0.460140, Firerate: 2.951869
